0, 0, Header, 1, 2, 256
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 454544
1, 88064, Time_signature, 5, 2, 24, 8
1, 89344, Time_signature, 4, 2, 24, 8
1, 89345, End_track
2, 0, Start_track
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 91, 48
2, 0, Control_c, 0, 10, 51
2, 0, Control_c, 0, 7, 100
2, 0, Note_on_c, 0, 53, 72
2, 0, Note_on_c, 0, 57, 72
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 91, 48
2, 0, Control_c, 0, 10, 51
2, 0, Control_c, 0, 7, 100
2, 0, Title_t, "Piano"
2, 128, Note_off_c, 0, 53, 0
2, 128, Note_off_c, 0, 57, 0
2, 128, Note_on_c, 0, 62, 84
2, 256, Note_off_c, 0, 62, 0
2, 256, Note_on_c, 0, 53, 73
2, 256, Note_on_c, 0, 57, 73
2, 384, Note_off_c, 0, 53, 0
2, 384, Note_off_c, 0, 57, 0
2, 384, Note_on_c, 0, 62, 84
2, 512, Note_off_c, 0, 62, 0
2, 512, Note_on_c, 0, 53, 78
2, 512, Note_on_c, 0, 57, 78
2, 640, Note_off_c, 0, 53, 0
2, 640, Note_off_c, 0, 57, 0
2, 640, Note_on_c, 0, 62, 85
2, 768, Note_off_c, 0, 62, 0
2, 768, Note_on_c, 0, 53, 78
2, 768, Note_on_c, 0, 57, 78
2, 896, Note_off_c, 0, 53, 0
2, 896, Note_off_c, 0, 57, 0
2, 896, Note_on_c, 0, 62, 85
2, 942, Note_on_c, 0, 45, 116
2, 968, Note_on_c, 0, 47, 116
2, 996, Note_on_c, 0, 49, 116
2, 1024, Note_off_c, 0, 62, 0
2, 1024, Note_on_c, 0, 53, 71
2, 1024, Note_on_c, 0, 57, 71
2, 1024, Note_on_c, 0, 50, 116
2, 1024, Note_off_c, 0, 45, 0
2, 1024, Note_off_c, 0, 47, 0
2, 1024, Note_off_c, 0, 49, 0
2, 1152, Note_off_c, 0, 53, 0
2, 1152, Note_off_c, 0, 57, 0
2, 1152, Note_on_c, 0, 62, 85
2, 1280, Note_off_c, 0, 62, 0
2, 1280, Note_on_c, 0, 53, 70
2, 1280, Note_on_c, 0, 57, 70
2, 1280, Note_off_c, 0, 50, 0
2, 1280, Note_on_c, 0, 45, 69
2, 1408, Note_off_c, 0, 53, 0
2, 1408, Note_off_c, 0, 57, 0
2, 1408, Note_on_c, 0, 62, 85
